,Fluxo Escolar - Label,Campus (Nome),Matrícula retida?,Ingressantes em (Período Letivo),Modalidade do Curso,Nível de Ensino,Tipo de Modalidade (grupo),Cidade Aluno,Cód. da Matriz,Cód. do Curso,Data Final Período,Data Início Período,Data Última Alteração Matrícula,Dt Ref Início Matrícula,Dt Ref Início Período Letivo,Estado Aluno,Estrutura Etária,Etnia,Faixa Etária,Forma de Ingresso,Forma de Oferta (grupo),Ingressantes em  (Ano Letivo),Num Seq deste Período Letivo,Periodo Letivo (Num),Previsão de Término (Letivo),Reserva vaga,Sexo,Tipo de Modalidade,Tipo_Escola_Origem,É matrícula retida neste período letivo?,Última Alteração de Situação,CH,CH. Disc. Obrigatórias,CH. Disc. Optativas,Duracao curso,Idade (Hoje),Periodos Cursados
2349,Formados,Acaraú,Fora do prazo,20151,Subsequente,Técnico,Educação Profissional,Itarema,5158,11200,2019-05-22,2018-11-26,2018-11-30,2015-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,20 a 24 anos,Seleção Técnico,Subsequente,2015,7,20182,2016/2,"L5 Esc Publica, Indep. Renda",M,Educação Profissional,E,Retida,2018-11-30,1240,1240,0,4,23,8
2350,Formados,Acaraú,Dentro do prazo,20181,Fic,Básico,Regular,Acaraú,7276,111023,2019-05-22,2018-11-26,2019-05-09,2018-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,30 a 34 anos,Seleção Extensão,Fic,2018,1,20182,2018/2,Não possui,F,Regular,E,Não Retida,2019-05-09,160,160,0,2,34,2
2356,Formados,Acaraú,Dentro do prazo,20151,Licenciatura,Graduação,Regular,Acaraú,4496,11401,2019-05-22,2018-11-26,2019-06-05,2015-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Sisu,Licenciatura,2015,7,20182,2018/2,Ampla Concorrência,F,Regular,E,Não Retida,2019-06-05,3260,3260,0,8,25,8
2367,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Não dispõe da informação,25 a 29 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,F,Regular,E,Não Retida,2016-05-27,160,160,0,2,28,1
2382,Formados,Acaraú,Fora do prazo,20182,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2019-05-22,2018-11-26,2019-10-18,2018-01-07,2018-01-07,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20182,2019/1,Ampla Concorrência,M,Educação Profissional,E,Não Retida,2019-10-18,800,800,0,2,23,2
2384,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,M,Regular,E,Não Retida,2016-05-27,160,160,0,2,25,1
2388,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,4928,11202,2019-05-22,2018-11-26,2019-05-09,2016-01-01,2018-01-07,CE,Adulto (20 a 59 anos),Parda,25 a 29 anos,Seleção Técnico,Subsequente,2016,5,20182,2017/2,Ampla Concorrência,M,Educação Profissional,E,Retida,2019-05-09,1480,1480,0,4,29,6
2389,Formados,Acaraú,Dentro do prazo,20171,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2017-11-16,2017-05-15,2018-05-16,2017-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2017,1,20171,2017/2,"L1 Esc Publica, Renda<1.5sm",F,Educação Profissional,E,Não Retida,2018-05-16,800,800,0,2,22,2
2390,Formados,Acaraú,Fora do prazo,20161,Subsequente,Técnico,Educação Profissional,Acaraú,5929,11203,2017-11-16,2017-05-15,2017-11-01,2016-01-01,2017-01-01,CE,Adulto (20 a 59 anos),Preta,20 a 24 anos,Seleção Técnico,Subsequente,2016,3,20171,2016/2,Ampla Concorrência,F,Educação Profissional,E,Retida,2017-11-01,800,800,0,2,21,3
2400,Formados,Acaraú,Dentro do prazo,20161,Fic,Básico,Regular,Cruz,7274,111021,2016-11-23,2016-07-11,2016-10-18,2016-01-01,2016-01-01,CE,Adulto (20 a 59 anos),Não dispõe da informação,55 a 59 anos,Seleção Extensão,Fic,2016,1,20161,2016/2,Não possui,M,Regular,E,Não Retida,2016-10-18,160,160,0,2,58,1
2410,Formados,Acaraú,Dentro do prazo,20152,Fic,Básico,Regular,Acaraú,7274,111021,2016-07-11,2016-02-03,2016-05-27,2015-01-07,2015-01-07,CE,Adulto (20 a 59 anos),Branca,20 a 24 anos,Seleção Extensão,Fic,2015,1,20152,2016/1,Ampla Concorrência,F,Regular,E,Não Retida,2016-05-27,160,160,0,2,24,1
2412,Formados,Acaraú,Dentro do prazo,20181,Subsequente,Técnico,Educação Profissional,Acaraú,7083,11204,2018-11-26,2018-06-04,2019-05-09,2018-01-01,2018-01-01,CE,Adulto (20 a 59 anos),Parda,20 a 24 anos,Seleção Técnico,Subsequente,2018,1,20181,2018/2,Ampla Concorrência,F,Educação Profissional,E,Não Retida,2019-05-09,800,800,0,2,21,2
